orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
1,2024-10-25,2024-11-03,Processing,622,7599.96,Bank Transfer
2,2024-06-12,2024-06-25,Delivered,558,14473.56,Cash
3,2025-04-25,2025-05-09,Delivered,678,12501.77,Debit Card
4,2024-04-01,2024-04-27,Shipped,948,4849.8,Cash
5,2024-02-08,2024-02-11,Pending,352,14072.95,Credit Card
6,2024-05-11,2024-05-23,Processing,771,9698.19,Cash
7,2025-08-20,2025-09-05,Shipped,524,2170.89,Credit Card
8,2024-07-16,2024-07-21,Cancelled,969,2929.36,Bank Transfer
9,2025-03-31,2025-04-08,Delivered,597,8683.76,Bank Transfer
10,2024-08-06,2024-08-21,Delivered,631,60.72,Bank Transfer
11,2025-09-17,2025-09-29,Delivered,460,3176.56,Debit Card
12,2025-02-20,2025-03-14,Shipped,145,6285.31,PayPal
13,2025-06-04,2025-06-14,Pending,17,224.56,Cash
14,2024-03-18,2024-03-31,Pending,621,493.55,PayPal
15,2024-11-29,,Processing,780,4467.52,Credit Card
16,2025-05-28,2025-06-07,Cancelled,751,487.0,Debit Card
17,2024-08-13,2024-08-22,Delivered,114,5050.21,Bank Transfer
18,2024-08-17,2024-09-06,Cancelled,253,2713.06,Cash
19,2025-01-14,2025-01-29,Delivered,572,6371.28,Credit Card
20,2024-03-17,2024-03-26,Processing,83,567.21,Bank Transfer
21,2024-05-31,2024-06-07,Pending,435,11632.92,Debit Card
22,2025-02-20,2025-03-03,Pending,700,4585.1,Bank Transfer
23,2024-01-14,2024-01-17,Processing,799,2799.05,Credit Card
24,2024-05-07,2024-06-01,Shipped,377,6417.23,PayPal
25,2024-07-22,2024-08-10,Shipped,418,7264.41,Debit Card
26,2025-02-18,2025-03-05,Pending,978,16433.33,Credit Card
27,2024-12-15,2024-12-31,Shipped,784,5565.84,Credit Card
28,2024-04-14,2024-04-21,Shipped,394,11134.43,Debit Card
29,2024-08-12,2024-09-07,Pending,918,4901.1,Bank Transfer
30,2024-12-20,2025-01-04,Processing,884,2200.54,Credit Card
31,2025-10-06,2025-10-11,Processing,414,583.8,PayPal
32,2024-11-21,2024-12-16,Shipped,611,2001.0,Credit Card
33,2025-03-12,2025-04-04,Cancelled,696,3104.29,Credit Card
34,2024-09-01,2024-09-08,Pending,750,2465.6,Credit Card
35,2024-08-22,2024-09-18,Delivered,282,12966.89,Cash
